Player,COUNTRY,TEAM,AGE,CAPTAINCY EXP,Paying_Role,Mat,Inns,Runs,BF,HS,Avg,SR,NO,4s,6s,0s,50s,100s,TMat,TInns,TRuns,TBF,THS,TAvg,TSR,TNO,T4s,T6s,T0s,T50s,T100s,B_Inns,B_Balls,B_Runs,B_Maidens,B_Wkts,B_Avg,B_Econ,B_SR,B_4w,B_5w,B_TInns,B_TBalls,B_TRuns,B_TMaidens,B_TWkts,B_TAvg,B_TEcon,B_TSR,B_T4w,B_T5w,SOLD_PRICE
Ruturaj Gaikwad,IND,CSK,26,0,Batting,36,36,1207,926,101,37.72,130.35,4,113,43,4,10,1,9,8,135,109,57,16.88,123.85,0,13,5,0,1,0,,,,,,,,,,,,,,,,,,,,,6cr
Shivam Dube,IND,CSK,29,0,All rounder,35,33,688,516,95,24.57,133.33,5,46,38,1,3,0,13,9,105,77,54,17.5,136.36,3,7,6,0,1,0,13,106,166,0,4,41.5,9.4,26.5,0,0,11,129,216,0,5,43.2,10.05,25.8,0,0,4cr
Ambati Rayudu,IND,CSK,37,0,Batting,188,175,4190,3296,100,28.9,127.12,30,349,164,14,22,1,6,5,42,50,20,10.5,84,1,5,0,2,0,0,,,,,,,,,,,,,,,,,,,,,6.75cr
Devon Conway,NZ,CSK,31,0,Batting,7,7,252,173,87,42,145.66,1,22,12,1,3,0,38,35,1234,947,99,45.7,130.31,8,118,32,0,9,0,,,,,,,,,,,,,,,,,,,,,1cr
Moeen Ali,ENG,CSK,35,0,All rounder,44,42,910,632,93,23.33,143.99,3,76,53,5,5,0,74,64,1076,750,72,22.42,413.47,16,83,57,9,7,0,37,554,627,0,24,26.12,6.79,23.08,0,0,58,829,1145,1,42,27.26,8.29,19.74,0,0,8cr
MS Dhoni,IND,CSK,41,15,Batting,234,206,4978,3682,84,39.2,135.2,79,346,229,4,24,0,98,85,1617,1282,56,37.6,126.13,42,116,52,1,2,0,,,,,,,,,,,,,,,,,,,,,12cr
Ravindra Jadeja,IND,CSK,34,1,All rounder,210,161,2502,1960,62,26.62,127.65,67,182,90,8,2,0,64,34,457,367,46,24.05,124.52,15,34,12,2,0,0,181,3205,4064,2,132,30.79,7.61,24.28,3,1,62,1237,1453,4,51,28.49,7.05,24.25,0,0,16cr
Dwaine Pretorius,SA,CSK,33,0,All rounder,6,5,44,28,22,11,157.14,1,3,3,1,0,0,30,17,261,159,77,21.75,164.15,5,22,15,2,1,0,6,126,210,0,6,35,10,21,0,0,27,504,696,0,35,19.89,14.4,0,1,,50l
Jagadeesan Narayan,IND,CSK,27,0,Batting,7,4,73,66,39,24.33,110.61,1,7,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20l
Dwayne Bravo,WI,CSK,39,0,All rounder,161,113,1560,1204,70,22.61,129.57,44,121,66,5,5,0,91,74,1255,1090,66,22.02,115.14,17,73,55,5,4,0,158,3119,4360,3,183,23.83,8.39,17.04,2,0,77,1505,2036,0,78,26.1,8.12,19.29,3,0,4.40cr
Mitchell Santner,NZ,CSK,31,0,All rounder,12,6,54,50,22,18,108,3,3,3,0,0,0,83,56,530,424,77,17.1,125,25,39,17,5,1,0,12,240,277,0,10,27.7,6.92,24,0,0,82,1718,2021,2,91,22.21,7.06,18.88,2,0,1.90cr
Chris Jordan,ENG,CSK,34,0,All rounder,28,11,75,65,30,9.38,115.38,3,3,3,1,0,0,87,53,432,326,36,14.9,132.52,24,31,21,3,0,0,28,536,833,0,27,30.85,9.32,19.85,1,0,86,1804,2622,2,96,27.31,8.72,18.79,3,0,3.60cr
Maheesh Theekshana,SL,CSK,22,0,Bowling,9,,,,,,,,,,,,,35,,,,,,,,,,,,,9,210,261,0,12,21.75,7.45,17.5,1,0,35,805,912,0,32,28.5,6.8,25.16,0,0,70l
Simarjeet Singh,IND,CSK,25,0,Bowling,6,,,,,,,,,,,,,,,,,,,,,,,,,,6,108,138,0,4,34.5,7.66,27,0,0,,,,,,,,,,,20l
Mukesh Choudhary,IND,CSK,26,0,Bowling,13,,,,,,,,,,,,,,,,,,,,,,,,,,13,273,424,0,16,26.5,9.31,17.06,1,0,,,,,,,,,,,20l
Prashant Solanki,IND,CSK,23,0,Bowling,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,36,38,0,2,19,6.33,18,0,0,,,,,,,,,,,1.20cr
Matheesha Pathirana,SL,CSK,20,0,Bowling,2,,,,,,,,,,,,,1,,,,,,,,,,,,,2,41,52,0,2,26,7.6,20.5,0,0,1,6,16,0,0,0,16,0,0,0,20l
Tushar Deshpande,IND,CSK,27,0,Bowling,7,,,,,,,,,,,,,,,,,,,,,,,,,,7,144,255,0,4,63.75,10.62,36,0,0,,,,,,,,,,,20l
David Warner,AUS,DC,36,6,Batting,162,162,5881,4180,126,42.01,140.69,22,578,215,9,55,4,99,99,2894,2048,100,32.89,141.31,11,296,105,6,24,1,,,,,,,,,,,,,,,,,,,,,6.25cr
Rishabh Pant,IND,DC,25,2,Batting,98,97,2338,1918,128,34.61,147.97,15,260,129,4,15,1,66,56,987,780,65,22.43,126.54,12,86,37,3,3,0,,,,,,,,,,,,,,,,,,,,,16cr
Prithvi Shaw,IND,DC,23,0,Batting,63,63,1588,1077,99,25.21,147.45,0,192,55,5,12,0,1,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,7.50cr
Mitchell Marsh,AUS,DC,31,0,All rounder,29,23,476,386,89,22.67,123.32,2,28,28,2,2,0,46,44,1086,855,77,29.35,127.02,7,86,45,2,6,0,23,391,522,0,24,21.75,8.01,16.29,1,0,23,264,348,0,15,13.2,7.91,17.6,0,0,6.50cr
Rovman Powell,WI,DC,29,0,Batting,14,12,250,167,67,25,149.7,2,10,22,2,1,0,55,46,890,661,107,23.42,134.64,8,53,55,2,4,1,,,,,,,,,,,,,,,,,,,,,2.80cr
Axar Patel,IND,DC,29,0,All rounder,122,88,1135,881,44,19.24,128.83,29,67,54,6,0,0,40,25,288,189,65,22.15,152.38,12,24,13,1,1,0,121,2553,3083,2,101,30.52,7.25,25.28,1,0,39,745,929,1,37,25.11,7.48,20.14,0,0,9cr
Lalit Yadav,IND,DC,26,0,All rounder,19,13,229,219,48,25.44,104.57,4,18,7,1,0,0,,,,,,,,,,,,,,13,192,251,0,8,31.38,7.84,24,0,0,,,,,,,,,,,65l
Shardul Thakur,IND,DC,31,0,All rounder,75,24,173,134,29,10.81,129.1,8,12,8,5,0,0,25,6,69,38,22,23,181.58,3,5,4,2,0,0,74,1550,2340,3,82,28.54,9.06,18.9,1,0,24,506,772,0,33,23.39,9.15,15.33,1,0,10.75cr
Sarfaraz Khan,IND,DC,25,0,Batting,46,33,532,386,67,24.18,137.82,11,59,13,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20l
Kuldeep Yadav,IND,DC,28,0,Bowling,59,,,,,,,,,,,,,28,,,,,,,,,,,,,57,1194,1655,0,61,27.13,8.32,19.57,3,0,27,519,666,2,46,14.48,6.76,12.85,1,1,2cr
Mandeep Singh,IND,DC,31,0,Batting,108,95,1692,1372,77,21.42,123.32,16,176,37,14,6,0,3,3,87,73,52,43.5,119.18,1,11,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1.10cr
Srikar Bharat,IND,DC,29,0,Batting,10,9,199,163,78,28.43,122.09,2,12,8,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2cr
Ripal Patel,IND,DC,27,0,All rounder,4,3,31,30,18,15.5,103.33,1,3,1,0,0,0,,,,,,,,,,,,,,1,18,22,0,0,0,7.33,0,0,0,,,,,,,,,,,20l
Mustafizur Rahman,BAN,DC,27,0,Bowling,46,,,,,,,,,,,,,81,,,,,,,,,,,,,46,1050,1365,1,46,29.67,7.8,22.83,0,0,80,1744,2196,6,100,21.96,7.56,17.44,3,1,2cr
Anrich Nortje,SA,DC,29,0,Bowling,30,,,,,,,,,,,,,29,,,,,,,,,,,,,30,682,916,1,43,21.3,8.06,15.86,0,0,28,581,689,0,35,19.69,7.12,16.6,2,0,6.50cr
Khaleel Ahmed,IND,DC,25,0,Bowling,34,,,,,,,,,,,,,14,,,,,,,,,,,,,34,778,1101,0,48,22.94,8.49,16.21,0,0,14,312,459,1,13,35.31,8.83,24,0,0,5.25cr
Chetan Sakariya,IND,DC,25,0,Bowling,17,,,,,,,,,,,,,2,,,,,,,,,,,,,17,378,510,1,17,30,8.1,22.24,0,0,1,22,34,0,1,34,9.27,22,0,0,4.20cr
Hardik Pandya,IND,GT,29,1,All rounder,107,100,1963,1330,91,30.2,147.59,35,146,110,5,8,0,87,67,1271,894,71,25.42,142.17,17,92,65,3,3,0,70,1052,1535,0,50,30.7,8.75,21.04,0,0,76,1347,1824,1,69,26.43,8.15,19.46,3,0,15cr
Shubman Gill,IND,GT,23,0,Batting,74,71,1900,1517,96,32.2,125.25,12,188,47,3,14,0,6,6,202,122,126,40.4,165.57,1,19,10,0,0,1,,,,,,,,,,,,,,,,,,,,,8cr
David Miller,SA,GT,33,1,Batting,105,102,2455,1783,101,36.64,137.69,35,169,113,3,12,1,111,96,2149,1489,106,34.66,144.33,34,141,103,1,6,2,,,,,,,,,,,,,,,,,,,,,3cr
Wriddhiman Saha,IND,GT,38,0,Batting,144,119,2427,1898,115,25.28,127.87,23,231,76,5,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90cr
Rahul Tewatia,IND,GT,29,0,All rounder,64,46,738,566,53,25.45,130.39,17,57,35,0,1,0,,,,,,,,,,,,,,50,830,1096,0,32,34.25,7.92,25.94,0,0,,,,,,,,,,,9cr
Matthew Wade,AUS,GT,35,0,Batting,13,13,179,171,35,13.77,104.68,0,23,2,0,0,0,75,57,1018,771,80,24.83,132.04,16,81,38,1,3,0,,,,,,,,,,,,,,,,,,,,,2.40cr
Sai Sudharsan,IND,GT,21,0,Batting,5,5,145,114,65,36.25,127.19,1,14,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20l
Abhinav Manohar,IND,GT,28,0,Batting,8,7,108,75,43,18,144,1,14,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60cr
Rashid Khan,AFG,GT,24,0,All rounder,92,43,313,206,40,11.18,151.94,15,20,22,12,0,0,77,43,345,267,48,15,129.21,20,21,21,7,0,0,92,2195,2833,4,112,20.83,6.38,19.6,1,0,77,1754,1820,1,126,14.44,6.23,13.92,4,2,15cr
Vijay Shankar,IND,GT,32,0,All rounder,51,43,731,599,63,23.58,122.04,12,46,28,2,3,0,9,4,101,73,43,25.25,139.36,0,11,5,0,0,0,22,238,344,0,9,38.22,8.67,26.44,0,0,6,126,191,0,5,38.2,9.1,25.2,0,0,1.40cr
Lockie Ferguson,NZ,GT,31,0,Bowling,35,,,,,,,,,,,,,31,,,,,,,,,,,,,35,765,1075,1,36,29.86,8.43,21.25,1,0,31,650,826,1,43,19.21,7.62,15.12,1,1,10cr
Alzarri Joseph,WI,GT,26,0,Bowling,12,,,,,,,,,,,,,10,,,,,,,,,,,,,12,232,351,1,13,27,9.08,17.85,0,1,10,240,299,0,16,18.69,7.47,15,1,0,2.40cr
Pradeep Sangwan,IND,GT,32,0,Bowling,42,,,,,,,,,,,,,,,,,,,,,,,,,,42,856,1240,1,38,32.63,8.69,22.53,0,0,,,,,,,,,,,20l
Mohammad Shami,IND,GT,32,0,Bowling,93,,,,,,,,,,,,,23,,,,,,,,,,,,,93,2036,2890,1,99,29.19,8.52,20.57,0,0,23,477,711,1,24,29.62,8.94,19.88,0,0,6.25cr
Yash Dayal,IND,GT,25,0,Bowling,9,,,,,,,,,,,,,,,,,,,,,,,,,,9,192,296,0,11,26.9,9.25,17.45,0,0,,,,,,,,,,,3.20cr
Sai Kishore,IND,GT,26,0,Bowling,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,96,121,0,6,20.16,7.56,16,0,0,,,,,,,,,,,3cr
Varun Aaron,IND,GT,33,0,Bowling,52,,,,,,,,,,,,,,,,,,,,,,,,,,50,994,1481,2,44,33.66,8.94,22.59,0,0,,,,,,,,,,,50l
Darshan Nalkande,IND,GT,24,0,Bowling,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,31,59,0,2,29.5,11.41,15.5,0,0,,,,,,,,,,,20l
Shreyas Iyer,IND,KKR,28,3,Batting,101,101,2776,2214,96,31.55,125.38,13,237,99,5,19,0,49,45,1043,767,74,30.68,135.98,11,85,42,4,7,0,,,,,,,,,,,,,,,,,,,,,12.25cr
Nitish Rana,IND,KKR,29,0,Batting,91,85,2181,1625,87,27.96,134.22,7,190,111,7,15,0,2,2,15,27,9,7.5,55.56,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,8cr
Andre Russell,WI,KKR,34,0,All rounder,98,82,2035,1144,88,30.37,177.88,15,137,175,4,10,0,67,57,741,475,51,19.5,156,19,42,62,9,1,0,89,1430,2179,0,89,24.48,9.14,16.07,2,1,56,891,1364,0,39,34.97,9.19,22.85,0,0,12cr
Venkatesh Iyer,IND,KKR,28,0,All rounder,22,22,552,457,67,27.6,120.79,2,54,21,1,5,0,9,7,133,82,35,33.25,162.2,3,15,5,0,0,0,8,75,115,0,3,38.33,9.2,25,0,0,4,55,75,0,5,15,8018,11,0,0,8cr
Rinku Singh,IND,KKR,25,0,Batting,17,15,251,193,42,20.92,130.05,3,23,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55l
Sam Billings,ENG,KKR,31,0,Batting,30,27,503,388,56,19.35,129.64,1,40,20,3,3,0,37,33,478,368,87,17.07,129.89,5,41,16,1,2,0,,,,,,,,,,,,,,,,,,,,,2cr
Ajinkya Rahane,IND,KKR,34,2,Batting,158,148,4074,3376,105,30.86,120.68,16,431,80,13,28,2,20,20,375,331,61,20.83,113.29,2,32,6,2,1,0,,,,,,,,,,,,,,,,,,,,,1cr
Sunil Narine,WI,KKR,34,0,All rounder,148,86,1025,630,75,14.86,162.7,17,112,63,12,4,0,51,23,155,138,30,10.33,112.32,8,13,5,2,0,0,147,3457,3820,4,152,25.13,6.63,22.74,7,1,49,1102,1105,1,52,21.25,6.02,21.19,1,0,6cr
Pat Cummins,AUS,KKR,29,0,All rounder,42,31,379,249,66,18.95,152.21,11,24,26,4,3,0,50,23,116,94,21,9.67,123.4,11,6,6,3,0,0,42,953,1357,1,45,30.16,8.54,21.18,1,0,50,1098,1350,3,55,24.55,7.38,19.96,0,0,7.25cr
Umesh Yadav,IND,KKR,35,0,Bowling,133,7,3,55,21,13.75,40,137.5,4,4,,,,9,,,,,,,,,,,,,132,2810,3918,5,135,29.02,8.37,20.81,3,0,9,180,280,0,12,23.33,9.33,15,0,0,2cr
Tim Seifert,NZ,KKR,28,0,Batting,3,3,26,23,21,8.67,113.04,0,4,0,0,0,0,40,37,753,580,84,23.53,129.83,5,63,37,2,5,0,,,,,,,,,,,,,,,,,,,,,50l
Sheldon Jackson,IND,KKR,36,0,Batting,9,8,61,57,16,10.17,107.02,2,5,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60l
B Indrajith,IND,KKR,28,0,Batting,3,3,21,30,15,7,70,0,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20l
Varun Chakaravarthy,IND,KKR,31,0,Bowling,42,,,,,-,,,,,,,,6,,,,,,,,,,,,,42,972,1171,0,42,27.88,7.23,23.14,0,1,6,135,132,0,2,66,5.87,67.5,0,0,8cr
Rasikh Salam,IND,KKR,22,0,Bowling,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,48,70,0,0,0,8.75,0,0,0,,,,,,,,,,,20l
Abhijeet Tomar,IND,KKR,28,0,Batting,1,1,4,8,4,4,50,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40l
Shivam Mavi,IND,KKR,24,0,All rounder,32,12,51,56,20,5.67,91.07,3,4,2,3,0,0,6,2,28,18,26,14,155.56,0,2,2,0,0,0,32,649,942,2,30,31.4,8.71,21.63,1,0,6,84,123,0,7,17.57,8.79,12,1,0,7.25cr
Harshit Rana,IND,KKR,21,0,Bowling,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,30,51,0,1,51,10.2,30,0,0,,,,,,,,,,,20l
Tim Southee,NZ,KKR,34,0,Bowling,52,,,,,,,,,,,,,106,,,,,,,,,,,,,52,1170,1663,2,45,36.96,8.53,26,0,0,104,2311,3144,3,134,23.46,8.16,17.25,1,1,1.50cr
Anukul Roy,IND,KKR,24,0,Bowling,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,54,66,0,2,33,7.33,27,0,0,,,,,,,,,,,20l
K L Rahul,IND,LSG,30,3,Batting,109,100,3889,2855,132,48.01,136.22,19,327,164,4,31,4,72,68,2265,1628,110,37.75,139.13,8,191,99,5,22,2,,,,,,,,,,,,,,,,,,,,,17cr
Quinton De Kock,SA,LSG,30,0,Batting,92,92,2764,2064,140,32.14,133.91,6,277,106,3,19,2,77,76,2156,1592,79,32.18,135.43,9,222,78,5,14,0,,,,,,,,,,,,,,,,,,,,,6.75cr
Deepak Hooda,IND,LSG,27,0,All rounder,95,75,1236,936,64,20.26,132.05,14,77,56,3,7,0,21,17,368,250,104,30.67,147.2,5,29,18,2,0,1,30,349,501,0,10,50.1,8.61,34.9,0,0,8,95,76,0,6,12.67,4.8,15.83,1,0,5.75cr
Krunal Pandya,IND,LSG,31,0,All rounder,98,85,1326,970,86,22.1,136.7,25,121,50,3,1,0,19,10,124,95,26,24.8,130.53,5,8,6,0,0,0,93,1672,2038,1,61,33.41,7.31,27.41,0,0,19,410,554,1,15,36.93,8.11,27.33,1,0,8.25cr
Ayush Badoni,IND,LSG,23,0,All rounder,13,11,161,130,54,20.12,123.85,3,11,7,1,1,0,,,,,,,,,,,,,,2,12,11,0,2,5.5,5.5,6,0,0,,,,,,,,,,,20l
Marcus Stoinis,AUS,LSG,33,0,All rounder,67,59,1070,779,65,26.1,137.36,18,83,48,6,4,0,51,42,803,545,78,29.74,147.34,15,69,35,2,2,0,50,654,1048,0,34,30.82,9.61,19.24,1,0,29,428,614,0,18,34.11,8.61,23.78,0,0,9.20cr
Manish Pandey,IND,LSG,33,0,Batting,160,149,3648,3002,114,29.9,121.52,27,317,105,12,21,1,39,33,709,562,79,44.31,126.16,17,49,19,2,3,0,,,,,,,,,,,,,,,,,,,,,4.60cr
Evin Lewis,WI,LSG,31,0,Batting,27,26,654,477,65,27.25,137.11,2,62,36,2,4,0,53,52,1465,964,125,29.3,151.97,2,108,111,4,10,2,,,,,,,,,,,,,,,,,,,,,2cr
Jason Holder,WI,LSG,31,0,All rounder,38,24,247,199,47,13,124.12,5,13,17,1,0,0,49,34,385,319,38,15.4,120.69,9,23,21,4,0,0,38,824,1177,0,49,24.02,8.57,16.82,1,0,46,1006,1370,1,51,26.86,8.17,19.73,2,1,8.75cr
Dushmantha Chameera,SL,LSG,31,0,Bowling,12,,,,,,,,,,,,,52,,,,,,,,,,,,,12,264,384,0,9,42.66,8.72,29.33,0,0,52,1118,1507,0,52,28.98,8.09,21.5,1,0,2cr
Mohsin Khan,IND,LSG,24,0,Bowling,9,,,,,,,,,,,,,,,,,,,,,,,,,,9,198,197,2,14,14.07,5.96,14.14,1,0,,,,,,,,,,,20l
Avesh Khan,IND,LSG,26,0,Bowling,38,,,,,,,,,,,,,15,,,,,,,,,,,,,38,832,1165,1,47,24.79,8.4,17.7,1,0,14,278,422,1,13,32.46,9.11,21.38,1,0,10cr
Manan Vohra,IND,LSG,29,0,Batting,55,50,1073,818,95,22.35,131.17,2,103,43,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20l
Karan Sharma,IND,LSG,24,0,All rounder,1,1,4,4,4,4,100,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20l
Ravi Bishnoi,IND,LSG,22,0,Bowling,37,,,,,,,,,,,,,10,,,,,,,,,,,,,37,846,1062,1,37,28.7,7.53,22.86,0,0,10,232,274,0,16,17.12,7.09,14.5,1,0,4cr
