Player,COUNTRY,TEAM,AGE,CAPTAINCY EXP,Paying_Role,Mat,Inns,Runs,BF,HS,Avg,SR,NO,4s,6s,0s,50s,100s,TMat,TInns,TRuns,TBF,THS,TAvg,TSR,TNO,T4s,T6s,T0s,T50s,T100s,B_Inns,B_Balls,B_Runs,B_Maidens,B_Wkts,B_Avg,B_Econ,B_SR,B_4w,B_5w,B_TInns,B_TBalls,B_TRuns,B_TMaidens,B_TWkts,B_TAvg,B_TEcon,B_TSR,B_T4w,B_T5w,SOLD_PRICE
Krishnappa Gowtham,IND,LSG,34,0,All rounder,28,20,186,111,33,13.29,167.57,6,13,12,2,0,0,,,,,,,,,,,,,,28,480,661,1,18,36.72,8.26,26.67,0,0,,,,,,,,,,,90l
Andrew Tye,AUS,LSG,36,0,Bowling,30,,,,,,,,,,,,,32,,,,,,,,,,,,,30,684,979,0,42,23.31,8.59,16.29,3,1,31,683,997,1,47,21.21,8.76,14.53,1,0,1cr
Ishan Kishan,IND,MI,24,0,Batting,75,70,1870,1413,99,29.22,132.34,6,166,85,6,12,0,27,27,653,532,89,25.12,122.74,1,71,25,0,4,0,,,,,,,,,,,,,,,,,,,,,15.25cr
Tilak Varma,IND,MI,20,0,Batting,14,14,397,303,61,36.09,131.02,3,29,16,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70cr
Suryakumar Yadav,IND,MI,32,0,Batting,123,108,2644,1933,82,30.05,136.78,20,284,84,6,16,0,48,46,1675,953,117,46.53,175.76,10,150,96,3,13,3,,,,,,,,,,,,,,,,,,,,,8cr
Rohit Sharma,IND,MI,35,10,Batting,227,222,5879,4526,109,30.3,129.89,28,519,240,14,40,1,148,140,3853,2767,118,30.82,139.25,15,348,182,10,29,4,,,,,,,,,,,,,,,,,,,,,16cr
Tim David,AUS,MI,27,0,All rounder,9,9,187,89,46,31.17,210.11,3,12,16,0,0,0,22,20,611,384,92,35.94,159.11,3,50,32,2,4,0,,,,,,,,,,,11,164,255,0,5,51,9.33,32.8,0,0,8.25cr
Dewald Brevis,SA,MI,19,0,All rounder,7,7,161,113,49,23,142.48,0,14,11,0,0,0,,,,,,,,,,,,,,1,3,8,0,1,8,0,3,0,0,,,,,,,,,,,3cr
Jaydev Unadkat,IND,MI,31,0,Bowling,91,,,,,,,,,,,,,10,,,,,,,,,,,,,90,1896,2778,3,91,30.53,8.79,20.84,0,2,10,208,301,0,14,21.5,8.68,14.86,0,0,1.30cr
Ramandeep Singh,IND,MI,25,0,Batting,5,4,45,40,14,22.5,112.5,2,3,1,0,0,0,,,,,,,,,,,,,,3,,54,,6,9,9,6,0,0,,,,,,,,,,,20l
Hrithik Shokeen,IND,MI,22,0,All rounder,5,3,43,48,25,21.5,89.58,1,5,0,0,0,0,,,,,,,,,,,,,,5,90,127,0,2,63.5,8.46,45,0,0,,,,,,,,,,,20l
Daniel Sams,AUS,MI,30,0,All rounder,16,13,44,44,15,4.89,100,4,1,3,3,0,0,10,7,106,62,41,26.5,170.97,3,8,6,0,0,0,16,360,523,0,14,37.36,8.72,25.71,1,0,10,180,305,0,7,43.57,10.17,25.71,0,0,2.60cr
Sherfane Rutherford,WI,MI,24,0,All rounder,10,9,106,104,28,15.14,101.92,2,3,8,0,0,0,6,4,43,36,26,10.75,119.44,0,1,3,0,0,0,6,41,59,0,1,59,8.63,41,0,0,2,36,49,0,1,49,8.17,36,0,0,1cr
Anmolpreet Singh,IND,MI,24,0,Batting,3,3,29,27,16,9.67,107.41,0,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20l
Murugan Ashwin,IND,MI,32,0,Bowling,42,,,,,,,,,,,,,,,,,,,,,,,,,,42,846,1109,0,35,31.69,7.87,24.17,0,0,,,,,,,,,,,1.60cr
Fabian Allen,WI,MI,27,0,All rounder,5,4,14,19,8,7,73.68,2,1,0,0,0,0,34,24,267,195,34,16.69,136.92,8,15,21,4,0,0,4,90,136,1,2,68,9.07,45,0,0,29,521,646,1,24,26.92,7.44,21.71,0,0,75l
Kumar Kartikeya Singh,IND,MI,25,0,All rounder,4,1,3,5,3,3,60,0,0,0,0,0,0,,,,,,,,,,,,,,4,78,102,0,5,20.4,7.84,15.6,0,0,,,,,,,,,,,20l
Tristan Stubbs,SA,MI,22,0,Batting,2,2,2,4,2,1,50,0,0,0,1,0,0,13,9,173,105,72,21.62,164.76,1,11,12,1,1,0,,,,,,,,,,,,,,,,,,,,,20l
Jasprit Bumrah,IND,MI,29,0,Bowling,120,,,,,,,,,,,,,60,,,,,,,,,,,,,120,2742,3380,7,145,23.31,7.4,18.91,2,1,59,1283,1416,9,70,20.23,6.62,18.33,0,0,12cr
Riley Meredith,AUS,MI,26,0,Bowling,13,,,,,,,,,,,,,5,,,,,,,,,,,,,13,270,405,0,12,33.75,9,22.5,0,0,5,113,188,0,8,23.5,9.98,14.12,0,0,1cr
Tymal Mills,ENG,MI,30,0,Bowling,10,,,,,,,,,,,,,13,,,,,,,,,,,,,10,209,343,0,11,31.18,9.85,19,0,0,13,268,374,1,12,31.17,8.37,22.33,0,0,1.50cr
Basil Thampi,IND,MI,29,0,Bowling,25,,,,,,,,,,,,,,,,,,,,,,,,,,25,521,846,1,22,38.45,9.74,23.68,0,0,,,,,,,,,,,30l
Mayank Markande,IND,MI,25,0,Bowling,20,,,,,,,,,,,,,1,,,,,,,,,,,,,20,360,510,0,17,30,805,21.18,1,0,1,24,31,0,0,0,7.75,0,0,0,65l
Shikhar Dhawan,IND,PK,37,0,Batting,203,205,6243,4952,106,34.88,126.33,26,701,136,11,47,2,68,66,1759,1392,92,27.92,126.36,3,191,50,2,11,0,,,,,,,,,,,,,,,,,,,,,8.25cr
Liam Livingstone,ENG,PK,29,0,All rounder,23,23,549,329,70,27.45,166.87,3,38,40,0,4,0,29,24,423,286,103,22.26,147.9,5,25,25,2,0,1,13,144,215,0,6,35.83,8.96,24,0,0,20,300,405,0,15,27,8.1,20,0,0,11.50cr
Jonny Bairstow,ENG,PK,33,0,Batting,39,39,1291,905,114,35.86,142.65,3,133,55,2,9,1,66,60,1337,980,90,27.85,136.43,12,120,57,5,8,0,,,,,,,,,,,,,,,,,,,,,6.75cr
Jitesh Sharma,IND,PK,29,0,Batting,12,10,234,143,44,29.25,163.64,2,22,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20l
Bhanuka Rajapaksa,SL,PK,31,0,Batting,9,9,206,129,43,22.89,159.69,0,16,13,0,0,0,37,33,678,507,77,24.21,133.73,5,57,30,3,3,0,,,,,,,,,,,,,,,,,,,,,50l
Mayank Agarwal,IND,PK,32,1,Batting,113,107,2331,1733,106,22.63,134.51,4,227,91,7,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14cr
Shahrukh Khan,IND,PK,27,0,Batting,19,18,270,222,47,19.29,121.62,4,13,19,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9cr
Rahul Chahar,IND,PK,23,0,Bowling,55,,,,,,,,,,,,,6,,,,,,,,,,,,,54,1180,1477,1,57,25.91,7.51,20.7,1,0,6,132,167,0,7,23.86,7.59,18.86,0,0,5.25cr
Odean Smith,WI,PK,26,0,All rounder,6,6,51,44,25,17,115.91,3,1,5,1,0,0,24,17,162,116,27,13.5,139.66,5,12,10,2,0,0,6,90,178,0,6,29.66,11.86,15,1,0,23,414,679,0,24,28.29,9.84,17.25,0,0,6cr
Kagiso Rabada,SA,PK,27,0,Bowling,63,,,,,,,,,,,,,54,,,,,,,,,,,,,63,1428,1966,2,99,19.86,8.26,14.42,6,0,54,1159,1644,1,56,29.36,8.51,20.7,0,0,9.25cr
Rishi Dhawan,IND,PK,33,0,All rounder,32,21,190,175,25,21.11,108.57,12,17,6,1,0,0,1,1,1,2,1,0,50,1,0,0,0,0,0,31,602,796,1,24,33.17,7.93,25.08,0,0,1,24,42,0,1,42,10.5,24,0,0,55l
Harpreet Brar,IND,PK,27,0,All rounder,15,9,106,95,25,35.33,111.58,6,6,5,0,0,0,,,,,,,,,,,,,,15,288,374,1,9,41.56,7.79,32,0,0,,,,,,,,,,,3.80cr
Arshdeep Singh,IND,PK,24,0,Bowling,14,,,,,,,,,,,,,26,,,,,,,,,,,,,37,757,1054,1,40,26.35,8.35,18.93,0,1,26,521,729,1,41,17.78,8.4,12.71,1,0,4cr
Prabhsimran Singh,IND,PK,22,0,Batting,6,6,64,66,16,10.67,96.97,0,6,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60l
Rajangad Bawa,IND,PK,20,0,All rounder,2,2,11,14,11,5.5,78.57,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2cr
Vaibhav Arora,IND,PK,25,0,Bowling,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,107,164,0,3,54.66,9.19,35.66,0,0,,,,,,,,,,,2cr
Prerak Mankad,IND,PK,28,0,Batting,1,1,4,1,4,0,400,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20l
Nathan Ellis,AUS,PK,28,0,Bowling,5,,,,,,,,,,,,,5,,,,,,,,,,,,,5,102,145,0,4,36.25,8.53,25.5,0,0,5,120,128,0,15,8.53,6.4,8,1,0,75l
Sandeep Sharma,IND,PK,29,0,Bowling,104,,,,,,,,,,,,,2,,,,,,,,,,,,,104,2318,3002,8,114,26.33,7.77,20.33,2,0,2,42,73,0,1,73,10.43,42,0,0,50l
Faf Du Plessis,SA,RCB,38,1,Batting,116,109,3403,2606,96,34.37,130.58,10,314,109,7,25,0,50,50,1528,1137,119,35.53,134.39,7,140,50,0,10,1,,,,,,,,,,,,,,,,,,,,,7cr
Virat Kohli,IND,RCB,34,9,Batting,223,215,6624,5129,113,36.2,129.15,32,578,218,9,44,5,115,107,4008,2905,122,52.74,137.97,31,356,117,4,37,1,,,,,,,,,,,,,,,,,,,,,15cr
Rajat Patidar,IND,RCB,29,0,Batting,12,11,404,280,112,40.4,144.29,1,30,21,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20l
Dinesh Karthik,IND,RCB,37,3,Batting,229,208,4376,3299,97,26.85,132.65,45,426,134,13,20,0,60,48,686,481,55,26.38,142.62,22,71,28,3,1,0,,,,,,,,,,,,,,,,,,,,,5.50cr
Glenn Maxwell,AUS,RCB,34,1,All rounder,110,106,2309,1507,95,25.48,153.88,15,197,127,12,13,0,98,90,2159,1430,145,28.41,150.98,14,176,106,3,10,3,66,786,1080,1,28,38.57,8.24,28.07,0,0,66,865,1076,0,39,27.59,7.46,22.18,0,0,11cr
Shahbaz Ahmed,IND,RCB,28,0,All rounder,29,19,279,235,45,18.6,118.72,4,18,11,0,0,0,,,,,,,,,,,,,,22,330,472,0,13,36.31,8.58,25.38,0,0,,,,,,,,,,,2.40cr
Anuj Rawat,IND,RCB,23,0,Batting,10,9,129,119,66,14.33,108.4,0,10,7,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.20cr
Mahipal Lomror,IND,RCB,23,0,All rounder,18,15,267,208,47,20.54,128.37,2,15,13,0,0,0,,,,,,,,,,,,,,8,72,92,0,1,92,7.67,72,0,0,,,,,,,,,,,95l
Suyash S Prabhudessai,IND,RCB,25,0,Batting,5,5,67,59,34,13.4,113.56,0,7,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30l
Harshal Patel,IND,RCB,32,0,All rounder,78,36,230,178,36,10.45,129.21,14,15,13,6,0,0,25,10,77,57,18,12.83,135.09,4,9,3,1,0,0,76,1585,2218,2,97,22.87,8.4,16.34,2,1,24,503,770,0,29,26.55,9.18,17.34,1,0,10.75cr
Wanindu Hasaranga,SL,RCB,25,0,All rounder,18,9,39,45,18,4.88,86.67,1,4,1,3,0,0,55,46,503,413,71,13.59,121.79,9,54,5,4,1,0,18,378,490,1,26,18.85,7.78,14.54,1,1,53,1186,1345,1,89,15.11,6.8,13.33,2,0,10.75cr
Mohammed Siraj,IND,RCB,29,0,Bowling,65,,,,,,,,,,,,,8,,,,,,,,,,,,,65,1334,1951,4,59,33.07,8.78,22.61,1,0,8,192,294,1,11,26.73,9.19,17.45,1,0,7cr
Josh Hazlewood,AUS,RCB,32,0,Bowling,24,,,,,,,,,,,,,41,,,,,,,,,,,,,24,549,734,1,32,22.94,8.02,17.16,1,0,41,922,1181,4,58,20.36,7.69,15.9,4,0,7.75cr
David Willey,ENG,RCB,33,0,All rounder,7,2,18,30,18,9,60,0,3,0,1,0,0,43,26,226,173,33,15.07,130.64,11,15,13,2,0,0,7,126,167,0,3,55.67,7.95,42,0,0,43,865,1180,1,51,23.14,8.08,16.96,1,0,2cr
Akash Deep,IND,RCB,26,0,Bowling,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,113,205,1,5,41,10.88,22.6,0,0,,,,,,,,,,,20l
Jos Buttler,ENG,RR,32,0,Batting,82,81,2831,1891,124,39.87,149.71,10,277,135,1,15,5,106,98,2713,1883,101,34.78,144.08,20,241,113,6,20,1,,,,,,,,,,,,,,,,,,,,,10cr
Sanju Samson,IND,RR,28,2,Batting,138,134,3526,2598,119,29.14,135.72,13,279,158,8,17,3,17,16,301,225,77,20.07,133.78,1,23,13,1,1,0,,,,,,,,,,,,,,,,,,,,,14cr
Devdutt Padikkal,IND,RR,22,0,Batting,46,46,1260,1013,101,28,124.38,1,135,36,3,7,1,2,2,38,38,29,19,100,0,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,7.75cr
Shimron Hetmyer,WI,RR,26,0,Batting,46,44,831,546,75,30.78,152.2,17,55,52,1,3,0,50,42,797,673,81,20.97,118.42,4,53,41,3,4,0,,,,,,,,,,,,,,,,,,,,,8.50cr
Yashasvi Jaiswal,IND,RR,21,0,Batting,23,23,547,406,68,23.78,134.73,0,62,22,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4cr
Ravichandran Ashwin,IND,RR,36,2,All rounder,184,75,647,550,50,13.48,117.64,27,51,21,9,1,0,65,19,184,160,31,26.29,115,12,17,4,0,0,0,181,3900,4534,4,157,28.88,6.98,24.84,1,0,65,1452,1672,3,72,23.22,6.91,20.17,2,0,5cr
Riyan Parag,IND,RR,21,0,All rounder,47,37,522,418,56,16.84,124.88,6,40,22,3,2,0,,,,,,,,,,,,,,19,157,280,0,4,70,10.7,39.25,0,0,,,,,,,,,,,3.80cr
Trent Boult,NZ,RR,33,0,Bowling,78,,,,,,,,,,,,,55,,,,,,,,,,,,,78,1789,2475,8,92,26.9,8.3,19.45,1,0,55,1257,1647,2,74,22.26,7.86,16.99,2,0,8cr
Daryl Mitchell,NZ,RR,31,0,All rounder,2,2,33,44,17,16.5,75,0,1,0,0,0,0,44,42,888,633,72,27.75,140.28,10,59,35,1,4,0,2,12,27,0,0,0,13.5,0,0,0,10,89,148,0,8,18.5,9.98,11.12,0,0,75l
James Neesham,NZ,RR,32,0,All rounder,14,10,92,93,22,10.22,98.92,1,6,2,2,0,2,60,48,688,431,48,22.19,159.63,17,49,41,5,0,0,13,216,334,0,8,41.75,9.28,27,0,0,40,495,753,0,25,30.12,9.13,19.8,0,0,1.50cr
Rassie van der Dussen,SA,RR,34,0,Batting,3,3,22,24,12,11,91.67,1,2,0,0,0,0,41,37,1044,811,94,36,128.73,8,66,45,1,7,0,,,,,,,,,,,,,,,,,,,,,1cr
Karun Nair,IND,RR,31,0,Batting,76,68,1496,1171,83,23.75,127.75,5,161,39,3,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40cr
Obed McCoy,WI,RR,26,0,Bowling,7,,,,,,,,,,,,,27,,,,,,,,,,,,,7,155,237,0,11,21.54,9.17,14.09,0,0,26,543,759,1,38,19.97,8.39,14.29,2,1,75l
Prasidh Krishna,IND,RR,27,0,Bowling,51,,,,,,,,,,,,,,,,,,,,,,,,,,51,1145,1703,3,49,34.76,8.92,23.37,1,0,,,,,,,,,,,10cr
Yuzvendra Chahal,IND,RR,32,0,Bowling,131,,,,,,,,,,,,,75,,,,,,,,,,,,,130,2856,3624,4,166,21.83,7.61,17.2,3,1,74,1656,2246,2,91,24.68,8.14,18.2,2,1,6.50cr
Navdeep Saini,IND,RR,30,0,Bowling,30,,,,,,,,,,,,,11,,,,,,,,,,,,,30,622,900,1,20,45,8.68,31.1,0,0,9,197,235,1,13,18.08,7.16,15.15,0,0,2.60cr
Nathan Coulter-Nile,AUS,RR,35,0,Bowling,39,,,,,,,,,,,,,28,,,,,,,,,,,,,38,857,1100,1,48,22.98,7.7,17.85,2,0,27,582,802,1,34,23.59,8.27,17.12,1,0,2cr
Kuldeep Sen,IND,RR,26,0,Bowling,7,,,,,,,,,,,,,,,,,,,,,,,,,,7,151,237,0,8,29.62,9.41,18.87,1,0,,,,,,,,,,,20l
Abhishek Sharma,IND,SRH,22,0,All rounder,36,34,667,493,75,23.82,135.29,6,64,25,1,22,0,,,,,,,,,,,,,,17,156,214,0,7,30.57,8.23,22.29,0,0,,,,,,,,,,,6.50cr
Rahul Tripathi,IND,SRH,32,0,Batting,76,74,1798,1277,93,27.66,140.8,9,176,68,3,10,0,5,5,97,67,44,19.4,144.78,0,11,5,1,0,0,,,,,,,,,,,,,,,,,,,,,8.5cr
Aiden Markram,SA,SRH,28,0,All rounder,20,18,527,393,68,40.54,134.1,5,37,23,0,3,0,31,27,879,595,70,38.22,147.73,4,73,39,1,9,0,6,60,87,0,1,87,8.7,60,0,0,12,138,169,2,7,24.14,7.35,19.71,0,0,2.60cr
Nicholas Pooran,WI,SRH,27,0,Batting,47,44,912,603,77,26.06,151.24,9,51,65,6,4,0,72,64,1427,1106,74,25.48,129.02,8,101,83,2,9,0,,,,,,,,,,,,,,,,,,,,,10.75cr
Kane Williamson,NZ,SRH,32,2,Batting,76,75,2101,1667,89,36.22,126.03,17,181,64,2,18,0,87,85,2464,2005,95,33.3,122.89,11,230,57,4,17,0,,,,,,,,,,,,,,,,,,,,,14cr
Washington Sundar,IND,SRH,23,0,All rounder,51,33,318,264,40,14.45,120.45,11,26,9,1,0,0,35,14,107,70,50,10.7,152.86,4,10,6,4,1,0,49,918,1106,1,33,33.52,7.23,27.82,0,0,33,675,813,1,29,28.03,7.23,25.28,0,0,8.75cr
Shashank Singh,IND,SRH,31,0,Batting,10,5,69,47,25,17.25,146.81,1,5,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20l
Romario Shepherd,WI,SRH,28,0,All rounder,3,3,58,41,26,29,141.46,1,2,5,0,0,0,23,9,198,133,44,39.6,148.87,4,7,17,0,0,0,3,54,98,0,3,32.66,10.88,18,0,0,20,371,650,0,21,30.95,10.51,17.67,0,0,7.75cr
Priyam Garg,IND,SRH,22,0,Batting,21,17,215,218,51,15.69,115.14,1,15,9,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20l
Bhuvneshwar Kumar,IND,SRH,33,1,Bowling,146,,,,,,,,,,,,,87,,,,,,,,,,,,,146,3262,3971,11,154,25.79,7.3,21.18,2,1,86,1719,2079,10,90,23.1,6.96,19.9,3,2,4.20cr
Shreyas Gopal,IND,SRH,29,0,All rounder,49,22,180,169,24,12.86,106.15,8,19,2,4,0,0,,,,,,,,,,,,,,48,949,1281,1,49,26.14,8.1,19.37,1,0,,,,,,,,,,,75l
Marco Jansen,SA,SRH,22,0,All rounder,10,5,9,10,8,3,90,2,0,1,2,0,0,1,1,12,17,12,12,70.59,0,1,1,0,0,0,10,228,319,0,9,35.44,8.39,25.33,0,0,1,24,38,0,1,38,9.5,24,0,0,4.20cr
Sean Abbott,AUS,SRH,31,0,All rounder,3,3,22,18,14,7.33,122.22,0,1,2,0,0,0,9,3,17,17,12,8.5,100,1,1,1,1,0,0,3,54,104,0,1,104,11.56,54,0,0,9,138,189,0,5,37.8,8.22,27.6,0,0,2.40cr
Kartik Tyagi,IND,SRH,22,0,Bowling,16,,,,,,,,,,,,,,,,,,,,,,,,,,16,361,570,0,14,40.71,9.47,25.79,0,0,,,,,,,,,,,4cr
Abdul Samad,IND,SRH,21,0,All rounder,25,20,226,159,33,14.12,142.14,4,12,14,2,0,0,,,,,,,,,,,,,,5,54,113,0,2,56.5,12.56,27,0,0,,,,,,,,,,,4cr
Umran Malik,IND,SRH,23,0,Bowling,17,,,,,,,,,,,,,8,,,,,,,,,,,,,17,367,540,1,24,22.5,8.83,15.29,1,1,8,139,243,0,11,22.09,10.49,12.64,0,0,4cr
Fazalhaq Farooqi,AFG,SRH,22,0,Bowling,3,,,,,,,,,,,,,19,,,,,,,,,,,,,3,72,110,0,2,55,9.16,36,0,0,,,,,,,,,,,50l
Jagadeesha Suchith,IND,SRH,29,0,All rounder,22,10,70,61,34,17.5,114.75,6,6,3,1,0,0,,,,,,,,,,,,,,21,420,602,0,19,31.68,8.6,22.11,0,0,,,,,,,,,,,20l
T Natarajan,IND,SRH,31,0,Bowling,35,,,,,,,,,,,,,4,,,,,,,,,,,,,35,759,1094,1,38,28.79,8.65,19.97,0,0,4,96,122,0,7,17.43,7.62,13.71,0,0,4cr
